registration_number,partner_departments,subjects,title_en,title_fr,description_en,description_fr,start_date,end_date,status,profile_page_en,profile_page_fr,report_available_online,report_link_en,report_link_fr,owner_org,owner_org_title
C-0000054,"D235,D64","AG,EX,TC",Consultation Opportunity - Services in Agriculture ,Opportunité de consultation - Les services liés à l'agriculture,GAC in collaboration with AAFC have launched consultations to seek the views of industry stakeholders to better understand Canadian interests around trade in services of the agriculture and agri-food industry. ,"AMC et AAC ont lancé des consultations afin d’obtenir l’avis des intervenants du secteur, afin de mieux comprendre les intérêts canadiens liés au commerce des services du secteur agricole et agroalimentaire. ",2020-10-05,2021-01-30,O,N/A,S/O,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002291,,AG,Proposed Domestic Policy on the Management of Low-Level Presence of Genetically Modified Crops in Imports and its Associated Implementation Framework,Projet de politique nationale sur la gestion de la présence de faibles quantités du cultures génétiquement modifiées dans les importations et son cadre de mise en oeuvre connexe,Not Available,Sans objet,2012-11-06,2013-01-19,C,http://www.agr.gc.ca/llp,http://www.agr.gc.ca/pfq,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000013,D64,TC,"Consultations on a Potential Free Trade Agreement with MERCOSUR (Argentina, Brazil, Paraguay and Uruguay)",Consulter les Canadiens au sujet d’un possible accord de libre-échange entre le Canada et le MERCOSUR,"Canada Gazette Notice

Coordinated stakeholder consultations on MERCOSUR FTA Exploratory Talks

To inform future engagement with MERCOSUR","Avis de la Gazette du Canada

Consultations auprès des intervenants sur les entretiens exploratoires au sujet d'un possible accord de libre-échange entre le Canada et le MERCOSUR

Vise à informer un engagement futur avec le MERCOSUR",2017-04-29,2017-05-29,C,http://www.international.gc.ca/trade-commerce/consultations/mercosur/index.aspx?lang=eng,http://www.international.gc.ca/trade-commerce/consultations/mercosur/index.aspx?lang=fra,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000067,,"AG,AM,RE",Regulatory Impact Analysis Statement - Adding Canaryseed as a Designated Grain under the Canada Grain Act,Résumé de L’Étude D'Impact de la Réglementation - Ajout de la graine à canaris à la liste des grains désignés aux termes de la Loi sur les grains du Canada,Submitted for consideration for pre-publication in Gazette Part I. The amendments proposed would add canaryseed to the list of seeds desigated as grain for the purposed of the Canada Grain Act.,Soumis en vue de publication préalable dans la Partie I de la Gazette du Canada.  Les modifications proposées visent à ajouter la graine à canaris à la liste des semences désignées comme étant des grains pour l’application de la Loi sur les grains du Canada.,2021-02-25,2021-03-25,P,n/a,S/O,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000002,D64,TC,China Free Trade Agreement Exploratory Talks,Consulter les Canadiens au sujet d’un possible accord de libre-échange entre le Canada et la Chine,"Face to Face / Value Chain Roundtables (VCRTs) / Canada Gazette Notice / Webinars

Coordinated stakeholder consultations on China FTA Exploratory talks with other relevant government departments. 

To inform future engagement with China","face à face / tables rondes sur les chaînes de valeur (TRCV) / avis de la Gazette du Canada / Webinaires

Consultations auprès des intervenants sur les entretiens exploratoires au sujet d'un possible accord de libre-échange entre le Canada et la Chine avec d'autres ministères.

Vise à informer un engagement futur avec la Chine",2017-01-01,2017-06-02,C,http://www.international.gc.ca/trade-commerce/consultations/china-chine/index.aspx?lang=eng,http://www.international.gc.ca/trade-commerce/consultations/china-chine/index.aspx?lang=fra,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000026,D64,TC,Consulting Canadians on trade with Asia-Pacific nations,Consultation auprès des Canadiens au sujet du commerce avec les pays de l’Asie-Pacifique,"Agriculture and Agri-Food Canada, along with Global Affairs Canada, and other relevant government departments and agencies, launched consultations with Canadians on September 30 to October 30, 2017 regarding strengthening Canada's economic relationship with Asia-Pacific nations, including with the remaining members of what was the Trans-Pacific Partnership (TPP): Australia, Brunei, Chile, Japan, Malaysia, Mexico, New Zealand, Peru, Singapore, and Vietnam. Consultations included a Canada Gazette notice.","Agriculture et Agroalimentaire Canada, en collaboration avec  Affaires mondiales Canada, ainsi que d'autres ministères et agences pertinents,  ont initié des consultations avec les Canadiens le 30 septembre à 30 octobre 2017 à renforcer ses relations économiques avec les pays de l’Asie-Pacifique, y compris avec les membres restants de ce qui était le Partenariat transpacifique (PTP): l’Australie, Brunéi, le Chili, le Japon, la Malaisie, le Mexique, la Nouvelle-Zélande, le Pérou, Singapour et le Vietnam. Les consultations incluent des rencontres avis de la Gazette du Canada. ",2017-09-30,2017-10-30,C,http://www.international.gc.ca/trade-commerce/trade-agreements-accords-commerciaux/agr-acc/tpp-ptp/consulting_canadians-consulter_canadiens.aspx?lang=eng,http://www.international.gc.ca/trade-commerce/trade-agreements-accords-commerciaux/agr-acc/tpp-ptp/consulting_canadians-consulter_canadiens.aspx?lang=fra ,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-003656,,AG,Next Agricultural Policy Framework - Share Your Experience and Ideas,Prochain cadre stratégique pour l'agriculture - Partagez votre expérience et vos idées,Not Available,Sans objet,2016-05-09,2016-11-30,C,http://www.agr.gc.ca/eng/?id=1461767905189,http://www.agr.gc.ca/fra/?id=1461767905189,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000005,,AG,Canadian Grain Commission - Canadian eastern wheat class modernization,Modernisation des classes de blé de l’Est canadien,Feedback will help the shape proposal and next steps.,Rétroaction aidera à l’élaboration de la proposition et aux prochaines étapes.,2017-03-20,2017-05-20,C,https://www.grainscanada.gc.ca/en/about-us/consultations/2017/eastern-wheat-class-consultation.html,https://www.grainscanada.gc.ca/fr/propos-nous/consultations/2017/modernisation-classes.html,Y,https://www.grainscanada.gc.ca/en/about-us/consultations/2017/stakeholder-feedback-modernization.html,https://www.grainscanada.gc.ca/fr/propos-nous/consultations/2017/commentaires-intervenants-modernisation.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-003480,,AG,Emergency Management for Agriculture,Gestion des urgences liées à l'agriculture,Not Available,Sans objet,2016-01-27,2016-03-24,C,http://www5.agr.gc.ca/eng/?id=1453226775712,http://www5.agr.gc.ca/fra/?id=1453226775712,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000008,"D135,D141,D147,D157,D173,D206,D230,D236,D249,D253,D256,D271,D64,D99","AG,EC,ED,EN,FD,FO,FS,HS,IN,PO,RE,RU,SO,ST,TR",Developing A Food Policy for Canada,Développement d'Une politique alimentaire pour le Canada,"AAFC  undertook and  completed a thorough consultation approach, with a view to obtaining input for and creating a sense of shared ownership in the development and implementation of A Food Policy for Canada. The consultations focussed on the scope of the policy, including its vision, objectives, guiding principles, and key priority actions. Engagement included an on-line survey, a food policy summit,  six regional sessions, local consultation events led by Members of Parliament, community events held by civil society organizations (organized by Food Secure Canada with support from the Government), written submissions and self-led engagement by National Indigenous Organizations, supported by the Government.","AAC a pratiquement terminé des consultations en deux phases afin d’inspirer un sentiment d’appartenance à l’égard de l’élaboration et de la mise en œuvre d’Une politique alimentaire pour le Canada. La première phase a servi à définir la portée de la politique, y compris sa vision, ses objectifs, ses principes directeurs et ses mesures prioritaires. Le processus de consultation comprenait un « sommet sur l’alimentation » et un questionnaire en ligne.

La deuxième phase des consultations, qui s’appuyait sur les résultats de la première, a servi à  définir  des mesures à court terme. Il y a eu six séances régionales à l’échelle du Canada, ainsi qu’un dialogue avec la société civile tenu par le Réseau pour une alimentation durable. La deuxième phase a aussi permis de consulter les cinq organisations autochtones nationales, dont trois ont choisi de mener leurs propres consultations. Une seule de ces consultations n’est pas encore terminée.",2017-05-29,2017-11-15,C,https://www.canada.ca/en/campaign/food-policy.html,https://www.canada.ca/fr/campagne/politique-alimentaire.html ,Y,https://www.canada.ca/en/campaign/food-policy/consulting-with-canadians.html,https://www.canada.ca/fr/campagne/politique-alimentaire/consultation-des-canadiens.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
